social_soft_unjoint_eval_nloss
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,nexus5,6.398,3.8094,2.5375,1.7971,4.7385,3.538,0.06,0.0,0.19,0.11,0.72,0.45999999999999996,0.0,0.0,0.0,0.0,15.870000000000001,17.52
,nexus6,3.6715,1.8474,1.7385,1.2791,3.254,2.5733,0.5599999999999999,0.0,1.03,0.12,2.23,0.6799999999999999,0.0,0.0,0.0,0.0,62.27,64.97
,quad0,11.8181,4.9126,3.2264,1.8814,5.9958,3.7681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.52
,quad1,11.3372,6.0672,3.3015,2.2271,6.1137,4.2639,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,21.5811,11.9311,3.216,3.008,6.1393,6.4189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,9.07
,quad3,20.8403,11.7761,4.0924,3.1184,7.6218,6.4084,0.0,0.0,1.5,0.66,1.59,1.0,0.0,0.0,0.0,0.0,10.93,10.93

,mean,11.307335294117646,5.126100000000001,2.6994588235294117,1.844758823529412,5.168741176470589,3.753964705882353,0.4158823529411764,0.011176470588235295,1.2017647058823528,0.3658823529411765,2.786470588235294,1.673529411764706,0.0,0.0,0.0,0.0,16.741764705882353,17.891764705882355
,std,5.67589560613085,2.9936178156007744,0.7227469877519368,0.5808233629019527,1.3559528692394203,1.2323460581304342,0.31963322406138484,0.014904540540376387,0.8060231736131314,0.31127931137256987,1.9786713937460827,1.5130877707774009,0.0,0.0,0.0,0.0,21.038183838885768,22.081553716459176

cnn_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,1.6372,1.6372,0.8187,0.8187,1.8694,1.8694,0.58,0.0,1.39,0.8200000000000001,5.76,5.28,0.0,0.0,0.0,0.0,11.66,11.91
,coupa1,1.2513,1.2513,0.6586,0.6586,1.4975,1.4975,0.4,0.0,1.0999999999999999,0.72,8.15,7.9,0.0,0.0,0.0,0.0,10.879999999999999,11.08
,gates2,5.4373,5.4373,1.4726,1.4726,3.447,3.447,1.55,0.01,1.9900000000000002,0.42,3.4799999999999995,1.92,0.0,0.0,0.0,0.0,22.61,23.66
,hyang0,3.4083,3.4083,1.2366,1.2366,2.8433,2.8433,1.08,0.06,1.63,0.61,2.94,1.91,0.0,0.0,0.0,0.0,10.11,10.71
,hyang1,4.1914,4.1914,1.3205,1.3205,3.0026,3.0026,0.62,0.0,0.88,0.26,2.22,1.6199999999999999,0.0,0.0,0.0,0.0,11.31,11.5
,hyang3,1.6242,1.6242,0.8643,0.8643,1.9542,1.9542,1.1199999999999999,0.08,1.54,0.49,3.08,2.06,0.0,0.0,0.0,0.0,35.79,37.09
,hyang8,1.0757,1.0757,0.7046,0.7046,1.601,1.601,0.95,0.09,2.13,1.22,4.67,3.7800000000000002,0.0,0.0,0.0,0.0,70.21,73.05
,little0,7.0393,7.0393,1.72,1.72,4.0338,4.0338,1.02,0.01,1.51,0.48,1.97,0.9400000000000001,0.0,0.0,0.0,0.0,2.15,2.36
,little1,6.8155,6.8155,1.5198,1.5198,3.5642,3.5642,1.2,0.12,2.42,1.29,6.17,5.050000000000001,0.0,0.0,0.0,0.0,4.87,4.99
,little2,6.8372,6.8372,1.6324,1.6324,3.9708,3.9708,1.26,0.0,2.8400000000000003,1.58,5.89,4.569999999999999,0.0,0.0,0.0,0.0,2.0,2.04
,little3,5.4023,5.4023,1.5399,1.5399,3.5155,3.5155,1.1199999999999999,0.03,1.6500000000000001,0.54,3.05,1.9,0.0,0.0,0.0,0.0,1.7000000000000002,1.79
,nexus5,4.2165,4.2165,1.6135,1.6135,3.3526,3.3526,0.13,0.0,0.25,0.12,0.8099999999999999,0.69,0.0,0.0,0.0,0.0,17.02,17.21
,nexus6,1.8375,1.8375,0.9586,0.9586,2.065,2.065,1.0999999999999999,0.01,1.26,0.16,2.12,1.05,0.0,0.0,0.0,0.0,61.25000000000001,62.88
,quad0,5.165,5.165,1.6418,1.6418,3.6697,3.6697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad1,3.1599,3.1599,1.1042,1.1042,2.4804,2.4804,0.0,0.0,0.04,0.04,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,4.644,4.644,1.3776,1.3776,3.2372,3.2372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63,8.63
,quad3,11.6495,11.6495,2.1933,2.1933,5.2149,5.2149,0.0,0.0,1.78,1.78,1.78,1.78,0.0,0.0,0.0,0.0,11.84,11.84

,mean,4.434829411764706,4.434829411764706,1.316294117647059,1.316294117647059,3.0187705882352946,3.0187705882352946,0.7135294117647059,0.024117647058823532,1.3182352941176472,0.6194117647058823,3.0694117647058823,2.3847058823529412,0.0,0.0,0.0,0.0,16.589999999999996,17.102352941176466
,std,2.6509575954104507,2.6509575954104507,0.40466819737335163,0.40466819737335163,0.9725460532054697,0.9725460532054697,0.5145408138670323,0.037425820519027916,0.8276489401709459,0.5371763932905564,2.3096637661795643,2.138435705471639,0.0,0.0,0.0,0.0,20.02688722105125,20.741508689074717

social_soft_joint_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,1.4533,1.4711,0.8774,0.8858,1.9338,1.8731,0.5700000000000001,0.0,1.34,0.76,6.68,6.22,0.0,0.0,0.0,0.0,12.280000000000001,12.57
,coupa1,1.1905,1.1899,0.8146,0.8185,1.7418,1.6952,0.41000000000000003,0.01,1.3,0.9199999999999999,8.77,8.559999999999999,0.0,0.0,0.0,0.0,11.66,11.86
,gates2,4.766,4.8749,1.5063,1.534,3.396,3.2378,1.5699999999999998,0.02,2.03,0.45999999999999996,3.61,2.04,0.0,0.0,0.0,0.0,22.98,24.03
,hyang0,2.5872,2.6601,1.1998,1.2262,2.6871,2.5946,1.09,0.06999999999999999,1.6400000000000001,0.61,2.9899999999999998,1.97,0.0,0.0,0.0,0.0,10.09,10.620000000000001
,hyang1,3.3649,3.3859,1.4033,1.4167,3.0687,2.9627,0.63,0.01,0.9299999999999999,0.32,2.4699999999999998,1.87,0.0,0.0,0.0,0.0,11.48,11.66
,hyang3,1.4452,1.4981,0.9459,0.9692,2.1196,2.0436,1.13,0.09,1.53,0.48,3.2,2.18,0.0,0.0,0.0,0.0,37.24,38.550000000000004
,hyang8,0.8505,0.8626,0.6888,0.6992,1.5104,1.4476,0.9299999999999999,0.06999999999999999,2.25,1.3599999999999999,5.01,4.130000000000001,0.0,0.0,0.0,0.0,76.48,79.53
,little0,5.4618,5.4631,1.6571,1.6796,3.7841,3.6497,1.01,0.0,1.52,0.48,2.09,1.05,0.0,0.0,0.0,0.0,2.15,2.33
,little1,5.1878,5.4764,1.4395,1.4912,3.3888,3.2878,1.24,0.16,2.74,1.6199999999999999,6.3,5.19,0.0,0.0,0.0,0.0,4.82,4.89
,little2,5.3629,5.8481,1.5985,1.6829,3.795,3.679,1.27,0.01,2.91,1.6500000000000001,6.550000000000001,5.21,0.0,0.0,0.0,0.0,1.87,1.87
,little3,4.3113,4.4284,1.4865,1.5197,3.3449,3.2682,1.1199999999999999,0.03,1.66,0.5499999999999999,3.15,2.01,0.0,0.0,0.0,0.0,1.9900000000000002,2.09
,nexus5,4.352,4.381,1.7541,1.7672,3.6566,3.6253,0.13,0.0,0.22999999999999998,0.1,0.96,0.8500000000000001,0.0,0.0,0.0,0.0,18.029999999999998,18.17
,nexus6,1.4909,1.5309,1.0237,1.0449,2.2501,2.1898,1.0999999999999999,0.0,1.28,0.18,2.19,1.1199999999999999,0.0,0.0,0.0,0.0,63.129999999999995,64.68
,quad0,5.0877,5.0877,1.7805,1.7805,3.7858,3.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.73
,quad1,3.7413,3.7413,1.4987,1.4987,3.139,3.139,0.0,0.0,0.02,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,8.1456,8.1456,2.1465,2.1465,4.9712,4.9712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.54,13.54
,quad3,10.2217,10.2217,2.2989,2.2989,5.0676,5.0676,0.03,0.03,1.78,1.78,1.78,1.78,0.0,0.0,0.0,0.0,10.02,10.02

,mean,4.060035294117647,4.133341176470588,1.418829411764706,1.4388058823529413,3.1553235294117647,3.089294117647059,0.7194117647058823,0.029411764705882353,1.3623529411764705,0.6641176470588235,3.281764705882353,2.601176470588235,0.0,0.0,0.0,0.0,17.617058823529412,18.125882352941176
,std,2.4592843349094053,2.477392182270519,0.4388835136419604,0.43815694269974337,0.9961988636396626,1.007808669090919,0.5167257844661711,0.04290490006778933,0.8715809125934505,0.5832571708394507,2.516178791211499,2.359665685076748,0.0,0.0,0.0,0.0,21.20047523460289,21.946782709096038

s2s_so_joint_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,2.6924,2.7603,1.3445,1.361,2.6063,2.5237,0.58,0.01,1.27,0.7000000000000001,6.05,5.6000000000000005,0.0,0.0,0.0,0.0,12.690000000000001,13.020000000000001
,coupa1,2.603,2.6034,1.4015,1.4079,2.5175,2.4473,0.44999999999999996,0.05,2.0,1.63,8.35,8.17,0.0,0.0,0.0,0.0,11.68,11.790000000000001
,gates2,5.2907,5.4171,1.6218,1.6518,3.4847,3.3076,1.58,0.02,2.04,0.44999999999999996,3.5999999999999996,2.07,0.0,0.0,0.0,0.0,23.14,24.29
,hyang0,3.1825,3.2744,1.3816,1.4072,2.9237,2.8174,1.0699999999999998,0.05,1.66,0.64,3.01,1.9900000000000002,0.0,0.0,0.0,0.0,10.6,11.29
,hyang1,7.4755,7.506,2.342,2.3598,4.5775,4.4146,0.62,0.0,0.8500000000000001,0.24,2.26,1.6400000000000001,0.0,0.0,0.0,0.0,12.590000000000002,12.78
,hyang3,2.5929,2.6635,1.366,1.3936,2.8481,2.7174,1.08,0.03,1.49,0.44999999999999996,3.2300000000000004,2.19,0.0,0.0,0.0,0.0,35.9,37.12
,hyang8,1.1081,1.1265,0.8615,0.8731,1.732,1.6592,0.9199999999999999,0.06,2.26,1.38,4.91,4.01,0.0,0.0,0.0,0.0,76.42999999999999,79.46
,little0,7.2719,7.1561,2.0273,2.0357,4.476,4.2599,1.02,0.02,1.4500000000000002,0.42,2.04,1.0,0.0,0.0,0.0,0.0,2.77,3.06
,little1,6.0879,6.4149,1.6239,1.6806,3.5547,3.4485,1.13,0.05,2.63,1.52,5.970000000000001,4.8500000000000005,0.0,0.0,0.0,0.0,5.29,5.5
,little2,7.2187,7.7636,1.9183,2.0092,4.2628,4.1073,1.26,0.0,2.71,1.44,5.89,4.53,0.0,0.0,0.0,0.0,3.02,3.16
,little3,5.5566,5.7082,1.7585,1.796,3.7407,3.639,1.0999999999999999,0.01,1.5699999999999998,0.44,3.2800000000000002,2.1399999999999997,0.0,0.0,0.0,0.0,2.18,2.31
,nexus5,4.4276,4.5336,1.8754,1.9032,3.6052,3.5994,0.13,0.0,0.26,0.13,0.98,0.8999999999999999,0.0,0.0,0.0,0.0,16.71,16.63
,nexus6,1.8546,1.9304,1.1623,1.1953,2.3355,2.2843,1.09,0.0,1.27,0.16999999999999998,2.15,1.1199999999999999,0.0,0.0,0.0,0.0,61.14000000000001,63.0
,quad0,14.9886,15.2563,3.3302,3.3838,6.969,7.0679,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.54,0.69
,quad1,6.699,6.535,2.2536,2.255,4.2474,4.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,15.3372,15.8368,3.3743,3.4092,6.6527,6.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27,6.1
,quad3,9.9517,9.9752,2.7195,2.7322,5.4768,5.5067,0.0,0.0,1.53,1.5,1.82,1.82,0.0,0.0,0.0,0.0,4.15,3.25

,mean,6.137582352941176,6.262429411764706,1.9036588235294118,1.9326235294117646,3.8829764705882353,3.8083058823529417,0.7076470588235294,0.01764705882352941,1.3523529411764708,0.6535294117647058,3.1511764705882355,2.472352941176471,0.0,0.0,0.0,0.0,16.711764705882352,17.261764705882353
,std,4.0246476227535295,4.114021848545705,0.6917682713493549,0.6955851887012002,1.4083172681188216,1.4516179405268852,0.5078388977035544,0.021290542436298656,0.8519702384457051,0.5796849162054543,2.3431298383671284,2.1829082851358823,0.0,0.0,0.0,0.0,21.141636153305505,21.91478556357734

new_timing
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,1.4863,1.4863,0.8894,0.8894,1.9499,1.9499,0.33999999999999997,0.0,1.08,0.75,7.35,7.08,0.0,0.0,0.0,0.0,12.030000000000001,12.22
,coupa1,1.2539,1.2539,0.791,0.791,1.7347,1.7347,0.26,0.03,1.6400000000000001,1.43,8.75,8.690000000000001,0.0,0.0,0.0,0.0,11.97,12.19
,gates2,5.4339,5.4339,1.5975,1.5975,3.5445,3.5445,1.0,0.04,1.46,0.48,3.02,1.97,0.0,0.0,0.0,0.0,22.56,23.28
,hyang0,2.7957,2.7957,1.2091,1.2091,2.6492,2.6492,0.74,0.05,1.3299999999999998,0.64,2.8400000000000003,2.13,0.0,0.0,0.0,0.0,10.17,10.620000000000001
,hyang1,4.89,4.89,1.7008,1.7008,3.5759,3.5759,0.38,0.0,0.63,0.24,2.53,2.19,0.0,0.0,0.0,0.0,11.77,11.76
,hyang3,1.3692,1.3692,0.9542,0.9542,2.1052,2.1052,0.7000000000000001,0.04,1.13,0.48,2.8899999999999997,2.21,0.0,0.0,0.0,0.0,36.5,37.22
,hyang8,0.9209,0.9209,0.7084,0.7084,1.5688,1.5688,0.5700000000000001,0.05,1.8599999999999999,1.31,4.43,3.88,0.0,0.0,0.0,0.0,76.32,78.39
,little0,5.9506,5.9506,1.7636,1.7636,3.8831,3.8831,0.58,0.01,1.16,0.5700000000000001,1.69,1.11,0.0,0.0,0.0,0.0,1.4500000000000002,1.5699999999999998
,little1,5.3056,5.3056,1.4335,1.4335,3.3039,3.3039,0.8,0.11,2.56,1.8499999999999999,5.64,4.9399999999999995,0.0,0.0,0.0,0.0,5.29,5.4399999999999995
,little2,5.761,5.761,1.595,1.595,3.7157,3.7157,0.8099999999999999,0.01,2.3800000000000003,1.58,6.15,5.319999999999999,0.0,0.0,0.0,0.0,2.0500000000000003,2.0
