social_soft_unjoint_eval_nloss
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,mean,11.11414117647059,3.764976470588235,2.639835294117647,1.3828235294117646,5.037429411764706,2.9494176470588234,0.35470588235294126,0.014117647058823528,1.1723529411764708,0.4876470588235294,2.8188235294117643,1.7741176470588236,0.0,0.0,0.0,0.0,16.923529411764708,17.41294117647059
,std,5.518852452549387,1.8996317208186655,0.7100514015703175,0.38336148434820744,1.323029744347823,0.8888492257740733,0.2577074868701477,0.017842059868356592,0.7739017220762118,0.41866074166202466,1.9986021066292403,1.5110730850994967,0.0,0.0,0.0,0.0,21.160283257632745,21.7578731564153

spatial_mha_4_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,6.2856,1.8342,2.1564,1.0308,4.4723,2.1048,0.25,0.01,0.5499999999999999,0.38,3.5900000000000003,2.52,0.0,0.0,0.0,0.0,13.48,12.770000000000001
,coupa1,4.1913,1.596,1.7292,0.9859,3.5115,1.9893,0.27,0.0,1.0,0.72,5.41,3.42,0.0,0.0,0.0,0.0,10.2,10.92
,gates2,12.5009,5.338,2.9572,1.7902,5.6847,3.7038,0.8200000000000001,0.01,1.28,0.22999999999999998,2.79,0.9400000000000001,0.0,0.0,0.0,0.0,23.369999999999997,24.87
,hyang0,11.2536,3.0407,2.878,1.3688,5.4943,2.7948,0.63,0.01,1.5,0.36,2.87,1.3299999999999998,0.0,0.0,0.0,0.0,10.03,11.52
,hyang1,15.1129,4.8137,3.3629,1.8691,6.4293,3.8134,0.31,0.01,0.65,0.35000000000000003,1.7399999999999998,1.3599999999999999,0.0,0.0,0.0,0.0,15.47,14.39
,hyang3,6.521,1.9292,2.4008,1.1374,4.8893,2.2962,0.59,0.01,0.98,0.31,2.46,1.3299999999999998,0.0,0.0,0.0,0.0,36.61,38.01
,hyang8,3.3919,1.1214,1.7286,0.8364,3.2176,1.6476,0.51,0.01,1.5699999999999998,0.43,3.7800000000000002,1.5599999999999998,0.0,0.0,0.0,0.0,66.5,77.91
,little0,18.1786,5.8203,3.9999,1.7551,7.9026,3.7528,0.47000000000000003,0.0,0.98,0.13999999999999999,1.48,0.58,0.0,0.0,0.0,0.0,5.75,1.58
,little1,15.606,6.4978,2.9853,1.7886,5.905,3.7913,0.51,0.04,1.8800000000000001,0.97,4.52,3.2,0.0,0.0,0.0,0.0,5.88,5.779999999999999
,little2,16.2492,7.6915,3.0056,1.9803,5.9927,4.1966,0.54,0.05,2.69,1.38,5.59,3.65,0.0,0.0,0.0,0.0,2.25,2.96
,little3,14.5205,4.6791,3.4083,1.6045,6.7204,3.3965,0.62,0.0,1.11,0.29,2.59,1.26,0.0,0.0,0.0,0.0,2.7199999999999998,1.7500000000000002
,nexus5,6.1957,4.2052,2.5441,1.8328,4.9226,3.5683,0.05,0.0,0.13999999999999999,0.1,0.7100000000000001,0.44999999999999996,0.0,0.0,0.0,0.0,14.7,17.150000000000002
,nexus6,6.5598,1.629,2.651,1.0855,5.4643,2.1172,0.54,0.0,0.69,0.1,1.72,0.5,0.0,0.0,0.0,0.0,56.2,63.13999999999999
,quad0,11.8737,5.981,3.3216,2.0064,6.2785,4.2228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,1.04
,quad1,16.8107,4.1728,4.0865,1.6486,7.9742,3.3187,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,24.0274,10.513,3.4705,2.2377,6.8364,4.7279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,15.620000000000001
,quad3,22.5847,9.1738,4.2748,2.4316,8.2128,5.0845,0.01,0.06999999999999999,1.43,0.37,1.5599999999999998,0.91,0.0,0.0,0.0,0.0,11.49,9.89

,mean,12.462558823529411,4.708041176470588,2.9976882352941177,1.6111588235294119,5.876970588235294,3.3250882352941176,0.36,0.012941176470588237,0.9676470588235294,0.36117647058823527,2.400588235294118,1.354705882352941,0.0,0.0,0.0,0.0,16.589411764705883,18.19411764705882
,std,6.055311032673891,2.6606144303765675,0.730721233465993,0.4502967519037712,1.3922224297291113,0.9810407108434288,0.26088086079552053,0.01993067570129108,0.7122667164991819,0.354564892474958,1.7158413151236107,1.1458370567203842,0.0,0.0,0.0,0.0,18.620580161110237,21.41919893565076

spatial_mha_1_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,4.8423,1.7573,1.6312,1.0125,3.0531,2.0787,0.27,0.03,1.09,0.61,5.08,4.01,0.0,0.0,0.0,0.0,11.92,12.61
,coupa1,3.7055,1.3407,1.4506,0.8332,2.7552,1.6968,0.27,0.01,0.97,0.62,6.3100000000000005,4.7,0.0,0.0,0.0,0.0,11.92,12.72
,gates2,12.8871,5.4326,3.0017,1.6341,6.0387,3.428,0.83,0.01,1.4000000000000001,0.41000000000000003,2.9000000000000004,1.3299999999999998,0.0,0.0,0.0,0.0,22.81,23.51
,hyang0,11.5499,2.7278,2.9155,1.2541,5.6908,2.637,0.54,0.02,1.37,0.42,2.9000000000000004,1.43,0.0,0.0,0.0,0.0,9.959999999999999,11.469999999999999
,hyang1,14.857,6.4676,3.2036,2.0233,6.031,4.049,0.3,0.0,0.8099999999999999,0.16,1.69,1.04,0.0,0.0,0.0,0.0,10.92,11.940000000000001
,hyang3,6.3507,3.4795,2.2414,1.5228,4.3959,3.1323,0.59,0.01,1.05,0.29,2.8400000000000003,1.4500000000000002,0.0,0.0,0.0,0.0,35.17,37.43
,hyang8,3.4375,1.2074,1.7126,0.9324,3.7116,1.9419,0.51,0.02,1.7000000000000002,0.7799999999999999,4.05,2.29,0.0,0.0,0.0,0.0,75.72,79.34
,little0,15.9854,6.622,3.4369,1.9563,6.5808,4.3084,0.47000000000000003,0.0,1.2,0.22,1.95,0.86,0.0,0.0,0.0,0.0,3.37,1.0999999999999999
,little1,15.5255,6.8274,2.7841,1.6707,5.3386,3.5931,0.54,0.1,2.7199999999999998,1.58,5.47,4.36,0.0,0.0,0.0,0.0,4.9799999999999995,5.609999999999999
,little2,16.2352,7.2998,2.9723,1.8706,5.9888,4.0453,0.5599999999999999,0.03,2.52,1.35,5.84,4.2,0.0,0.0,0.0,0.0,2.15,2.74
,little3,14.0443,5.0255,3.096,1.6356,6.1016,3.5315,0.62,0.01,1.29,0.49,2.97,1.7500000000000002,0.0,0.0,0.0,0.0,2.81,2.77
,nexus5,6.3593,4.6462,2.5808,1.868,4.8699,3.7501,0.05,0.0,0.15,0.11,0.7100000000000001,0.43,0.0,0.0,0.0,0.0,14.84,20.01
,nexus6,3.8444,1.9095,1.7658,1.1896,3.2663,2.413,0.54,0.0,1.22,0.09,2.21,0.5700000000000001,0.0,0.0,0.0,0.0,59.06,64.63
,quad0,12.4655,9.8715,3.2514,2.1029,6.0338,4.4707,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.08,0.52
,quad1,11.9207,5.802,3.3889,1.77,6.2636,3.4657,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,21.9092,8.7572,3.1935,2.3096,5.9457,4.9957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,11.600000000000001
,quad3,23.5679,23.9507,4.2654,3.7361,7.813,7.1727,0.0,0.0,1.48,0.59,1.66,1.32,0.0,0.0,0.0,0.0,10.77,9.629999999999999

,mean,11.734552941176469,6.0661588235294115,2.758335294117647,1.7248117647058823,5.286964705882354,3.5711705882352938,0.35823529411764704,0.01411764705882353,1.1158823529411765,0.4541176470588235,2.7405882352941178,1.753529411764706,0.0,0.0,0.0,0.0,16.811176470588233,18.095882352941175
,std,6.010813842725718,5.129717683099578,0.7421143117441555,0.6514649030159582,1.3584984340163642,1.2758772717876745,0.2598016278108141,0.023778097566362046,0.7669807791404777,0.43985370326600254,1.9834090396801969,1.5500623941008105,0.0,0.0,0.0,0.0,20.506180670098964,21.86795427609664

social_soft_joint_eval_nl
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,4.8047,1.4981,1.6012,0.9103,3.0828,1.8895,0.15,0.01,1.0699999999999998,0.9400000000000001,5.19,4.49,0.0,0.0,0.0,0.0,12.030000000000001,12.64
,coupa1,3.7363,1.4292,1.4867,0.8367,2.8788,1.7625,0.15,0.02,0.76,0.63,6.1899999999999995,4.82,0.0,0.0,0.0,0.0,10.03,11.5
,gates2,13.1173,5.1526,2.7654,1.4818,5.3024,3.1817,0.5,0.01,1.4000000000000001,0.44,3.06,1.67,0.0,0.0,0.0,0.0,23.380000000000003,23.07
,hyang0,11.3083,2.8988,2.8407,1.2169,5.4635,2.5722,0.38,0.02,1.15,0.45999999999999996,2.7,1.6199999999999999,0.0,0.0,0.0,0.0,9.65,10.870000000000001
,hyang1,14.0795,4.3783,3.0263,1.6419,5.8228,3.4307,0.19,0.01,0.54,0.21,1.53,1.01,0.0,0.0,0.0,0.0,11.34,11.58
,hyang3,5.5798,1.4934,1.9986,0.9775,3.8964,2.0524,0.38999999999999996,0.02,0.98,0.44,2.5700000000000003,1.6500000000000001,0.0,0.0,0.0,0.0,35.92,37.169999999999995
,hyang8,2.7014,0.8423,1.3411,0.6799,2.6067,1.4218,0.37,0.06,1.79,1.01,4.3,3.02,0.0,0.0,0.0,0.0,73.02,78.39
,little0,15.4955,5.565,3.2505,1.7585,6.1994,3.7212,0.29,0.02,1.03,0.49,1.63,1.0699999999999998,0.0,0.0,0.0,0.0,1.69,1.31
,little1,15.5282,5.6128,2.7628,1.4394,5.3625,3.1807,0.4,0.06,1.95,1.24,5.12,4.17,0.0,0.0,0.0,0.0,4.61,4.75
,little2,15.9658,6.669,2.8722,1.6823,5.7447,3.6831,0.32,0.01,2.26,1.41,5.88,4.3999999999999995,0.0,0.0,0.0,0.0,2.29,2.0500000000000003
,little3,13.5072,4.6026,2.9179,1.5174,5.6159,3.2473,0.36,0.02,1.0699999999999998,0.44999999999999996,2.76,1.79,0.0,0.0,0.0,0.0,1.77,1.81
,nexus5,6.506,4.124,2.5346,1.7611,4.5868,3.4185,0.01,0.0,0.09,0.08,0.62,0.45999999999999996,0.0,0.0,0.0,0.0,18.48,16.03
,nexus6,3.7311,1.5698,1.7186,1.0251,3.1841,2.0919,0.33999999999999997,0.0,0.76,0.11,1.8399999999999999,0.61,0.0,0.0,0.0,0.0,62.91,63.68000000000001
,quad0,11.4342,5.1873,3.2297,1.9516,6.0517,4.1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad1,11.4684,2.6831,3.2732,1.2859,6.1285,2.6364,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,22.6604,10.1955,3.1509,2.5102,6.1399,5.3998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,9.120000000000001
,quad3,20.4049,8.1492,3.8888,2.0107,7.2657,4.6048,0.02,0.09,2.1999999999999997,1.68,2.33,2.18,0.0,0.0,0.0,0.0,12.23,10.41

,mean,11.295823529411766,4.238294117647059,2.627011764705882,1.4521882352941178,5.0195647058823525,3.0877705882352937,0.2276470588235294,0.020588235294117647,1.0029411764705882,0.5647058823529412,2.6894117647058824,1.9405882352941177,0.0,0.0,0.0,0.0,16.748823529411766,17.316470588235298
,std,5.797967809452409,2.5210153317476225,0.713662388365447,0.4680289129861568,1.3478128679418442,1.040505299059184,0.16728030057940987,0.02484554362581515,0.723657090599606,0.5047785495472693,1.9799568343132998,1.6103286861720656,0.0,0.0,0.0,0.0,20.83142362827425,21.74839978999847

spatial_soft_new_loss_new_images
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,124.0638,37.531,1.9264,0.9785,3.5682,1.9371,0.31,0.06,1.58,1.6,5.21,4.58,0.2566,0.2583,0.2605,0.2621,12.94,12.6
,coupa1,101.1642,37.9686,1.8194,0.9348,3.3764,1.7978,0.24,0.01,0.96,0.76,5.66,3.8899999999999997,0.2457,0.2517,0.2519,0.2572,11.42,11.790000000000001
,gates2,307.7725,143.7836,3.035,1.6991,5.6526,3.5679,1.06,0.02,1.67,0.3,3.38,1.31,0.2078,0.2124,0.2273,0.2292,23.09,23.169999999999998
,hyang0,294.9805,61.3899,3.2436,1.2319,6.126,2.5566,0.5499999999999999,0.01,1.0999999999999999,0.27,2.58,1.11,0.2217,0.2207,0.236,0.2373,12.31,10.12
,hyang1,334.3829,75.3037,3.0592,1.3945,5.7419,2.8225,0.38999999999999996,0.02,0.7000000000000001,0.33999999999999997,1.76,1.31,0.2481,0.2421,0.2558,0.2527,12.2,11.34
,hyang3,145.3167,35.5215,2.2316,1.0177,4.2092,2.0461,0.62,0.0,0.98,0.22,2.35,1.1900000000000002,0.2674,0.2659,0.2678,0.2674,35.05,37.19
,hyang8,73.723,24.4273,1.6514,0.8565,3.0874,1.6938,0.5599999999999999,0.03,1.7999999999999998,0.9400000000000001,4.37,2.77,0.2443,0.2469,0.2523,0.2549,77.24,78.8
,little0,375.5133,147.0599,3.7222,1.749,6.9589,3.7945,0.52,0.02,1.03,0.32,1.6400000000000001,0.89,0.2011,0.1986,0.2228,0.2217,1.59,1.47
,little1,371.9718,137.0117,3.1569,1.5649,5.9478,3.4873,0.66,0.04,1.92,0.8699999999999999,4.66,3.01,0.1874,0.1959,0.2124,0.2138,8.57,5.84
,little2,368.8436,138.8102,3.1659,1.7041,6.0522,3.7061,0.7000000000000001,0.06,2.2800000000000002,1.22,5.96,3.55,0.1732,0.1765,0.2028,0.2003,3.7900000000000005,2.13
,little3,335.7335,116.0387,3.2168,1.5752,6.0816,3.3217,0.58,0.02,1.22,0.48,3.0700000000000003,1.78,0.1972,0.204,0.2202,0.2248,3.7900000000000005,1.87
,nexus5,182.2692,100.1095,2.9575,1.7664,5.2344,3.2383,0.04,0.01,0.27999999999999997,0.18,0.97,0.5499999999999999,0.2832,0.2742,0.2791,0.2716,15.440000000000001,15.790000000000001
,nexus6,107.3188,37.4713,2.2285,1.0903,3.941,2.1454,0.77,0.01,1.04,0.16999999999999998,2.22,0.6799999999999999,0.2638,0.2636,0.2611,0.2567,55.25,62.760000000000005
,quad0,252.8818,48.8408,3.0737,1.3166,5.3933,2.9606,0.0,0.0,0.0,0.0,0.0,0.0,0.2143,0.2062,0.2326,0.2289,0.0,0.0
,quad1,288.378,101.2821,3.3949,1.433,5.9677,2.4912,0.0,0.0,0.0,0.06,0.02,0.16,0.2472,0.2384,0.2547,0.2491,1.6500000000000001,0.0
,quad2,441.8152,162.758,3.1349,2.0935,6.0378,4.3208,0.0,0.0,0.0,0.0,0.0,0.0,0.2903,0.2883,0.2832,0.2774,7.48,9.520000000000001
,quad3,489.1311,247.9734,4.1844,2.834,7.5905,5.6572,0.0,0.0,1.43,0.37,1.58,0.96,0.2898,0.2842,0.2827,0.2727,10.67,12.5

,mean,270.30940588235296,97.25183529411765,2.8942529411764704,1.484705882352941,5.350994117647058,3.0320529411764703,0.4117647058823529,0.018235294117647058,1.0582352941176472,0.4764705882352941,2.6723529411764706,1.631764705882353,0.23759411764705884,0.23693529411764705,0.2472470588235294,0.24575294117647062,17.204705882352943,17.464117647058824
,std,123.19797835807624,59.021264054017415,0.6699287065823604,0.4776820102396304,1.2411387619585434,1.0014055252597527,0.3138421351781,0.01886025828456635,0.6733868330979003,0.4384859133356186,1.8987659441665379,1.370526885776663,0.03526824051363118,0.03282246255909064,0.023995051392932693,0.022042181957944364,20.091044278673333,21.62862973517863

social_mha_4_unjoint_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,4.7758,1.6537,1.6164,1.0017,3.0833,2.0355,0.27,0.02,1.26,0.8999999999999999,4.92,3.8899999999999997,0.0,0.0,0.0,0.0,11.73,12.94
,coupa1,3.7445,1.3643,1.5005,0.8792,2.854,1.7707,0.32,0.06,1.13,0.6799999999999999,5.87,3.92,0.0,0.0,0.0,0.0,11.559999999999999,12.379999999999999
,gates2,12.4535,4.7841,2.7079,1.4797,5.2401,3.1198,0.86,0.01,2.1,0.45999999999999996,3.54,1.59,0.0,0.0,0.0,0.0,23.84,24.709999999999997
,hyang0,11.3469,2.7672,2.8463,1.249,5.4956,2.6253,0.5599999999999999,0.01,1.6,0.41000000000000003,2.9000000000000004,1.41,0.0,0.0,0.0,0.0,9.55,10.37
,hyang1,13.3766,3.4122,2.8685,1.4077,5.4641,2.8506,0.32,0.01,0.8699999999999999,0.29,1.82,1.3,0.0,0.0,0.0,0.0,10.879999999999999,11.65
,hyang3,5.4913,1.6827,1.9802,1.0749,3.8394,2.1425,0.61,0.02,1.44,0.32,2.9000000000000004,1.58,0.0,0.0,0.0,0.0,36.059999999999995,38.019999999999996
,hyang8,2.7124,1.0254,1.3568,0.7931,2.6183,1.5861,0.54,0.05,2.1,0.8699999999999999,4.6,2.87,0.0,0.0,0.0,0.0,74.86,79.25
,little0,15.6264,6.131,3.2994,1.7763,6.3343,3.8664,0.5,0.02,1.51,0.37,1.96,0.9299999999999999,0.0,0.0,0.0,0.0,1.27,1.43
,little1,15.4875,5.8434,2.7656,1.5248,5.3689,3.3516,0.5499999999999999,0.06999999999999999,2.59,1.39,5.28,3.85,0.0,0.0,0.0,0.0,4.36,5.319999999999999
,little2,15.8982,6.5902,2.8781,1.7394,5.7954,3.807,0.5499999999999999,0.0,2.68,1.16,5.83,4.05,0.0,0.0,0.0,0.0,1.94,2.03
,little3,13.4914,4.6517,2.9105,1.5562,5.6305,3.3154,0.64,0.02,1.59,0.38,3.15,1.68,0.0,0.0,0.0,0.0,1.76,2.12
,nexus5,6.4677,4.1187,2.5486,1.7216,4.7274,3.4277,0.05,0.0,0.19,0.12,0.74,0.47000000000000003,0.0,0.0,0.0,0.0,16.23,16.14
,nexus6,3.6805,1.6556,1.7054,1.0746,3.1734,2.201,0.5599999999999999,0.0,1.22,0.11,2.21,0.5599999999999999,0.0,0.0,0.0,0.0,62.529999999999994,63.28
,quad0,11.7973,5.2939,3.1785,1.7956,5.8955,3.6814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.33999999999999997
,quad1,11.1701,3.4661,3.2553,1.5615,6.0341,2.9374,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,20.6798,5.5039,3.0245,1.8335,5.6814,3.8173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580000000000001,10.26
,quad3,20.6438,9.5129,3.9971,2.3766,7.4189,4.8555,0.0,0.0,1.52,0.76,1.6099999999999999,1.09,0.0,0.0,0.0,0.0,10.66,8.72

,mean,11.108452941176472,4.085705882352941,2.614094117647059,1.4614941176470586,4.979682352941175,3.0230117647058825,0.3723529411764706,0.017058823529411765,1.2823529411764707,0.48352941176470593,2.7841176470588236,1.7188235294117646,0.0,0.0,0.0,0.0,16.756470588235295,17.58588235294118
,std,5.590526818290094,2.225809161913823,0.7127635772289586,0.3984639809105021,1.3362427629189566,0.8529995075388916,0.2677032907961988,0.021629148601000278,0.8279423780160543,0.4046776665950697,1.9458887545239318,1.411085866203509,0.0,0.0,0.0,0.0,21.0772193559432,21.8664411313516

social_mha_1_joint_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,1.5767,1.6243,0.9549,0.9694,1.99,1.9327,0.58,0.0,0.98,0.41000000000000003,6.04,5.58,0.0,0.0,0.0,0.0,12.15,12.45
,coupa1,1.3785,1.3826,0.904,0.9105,1.8247,1.7773,0.4,0.01,1.34,0.95,8.7,8.459999999999999,0.0,0.0,0.0,0.0,10.57,10.77
,gates2,4.6811,4.793,1.4594,1.4889,3.2376,3.0893,1.5599999999999998,0.01,1.9900000000000002,0.41000000000000003,3.53,1.95,0.0,0.0,0.0,0.0,22.939999999999998,24.01
,hyang0,2.767,2.8481,1.1918,1.2181,2.6037,2.5157,1.08,0.06,1.63,0.61,3.0,1.9800000000000002,0.0,0.0,0.0,0.0,9.76,10.290000000000001
,hyang1,3.6131,3.6567,1.4511,1.4687,3.1253,3.0238,0.62,0.0,0.86,0.25,2.26,1.66,0.0,0.0,0.0,0.0,10.91,11.03
,hyang3,1.7638,1.8297,1.0609,1.087,2.2753,2.1961,1.1199999999999999,0.08,1.4500000000000002,0.4,3.17,2.13,0.0,0.0,0.0,0.0,37.39,38.769999999999996
,hyang8,1.0805,1.092,0.7955,0.8073,1.6599,1.5848,0.9400000000000001,0.08,2.17,1.27,4.8500000000000005,3.9699999999999998,0.0,0.0,0.0,0.0,76.16000000000001,79.22
,little0,6.1176,6.0375,1.6919,1.7082,3.8869,3.7117,1.01,0.0,1.53,0.5,2.1,1.0699999999999998,0.0,0.0,0.0,0.0,1.41,1.47
,little1,5.5339,5.8489,1.424,1.4814,3.3115,3.2164,1.21,0.13,2.7,1.5699999999999998,6.13,4.99,0.0,0.0,0.0,0.0,4.97,5.12
,little2,5.9656,6.5197,1.5813,1.6721,3.7878,3.6731,1.3,0.04,2.9000000000000004,1.6400000000000001,6.34,5.01,0.0,0.0,0.0,0.0,1.92,1.9300000000000002
,little3,4.6374,4.7611,1.4854,1.5197,3.2765,3.2041,1.11,0.03,1.63,0.52,3.1399999999999997,2.0,0.0,0.0,0.0,0.0,2.12,2.1999999999999997
,nexus5,4.1374,4.1639,1.6871,1.7005,3.4524,3.4265,0.13,0.0,0.21,0.08,0.8099999999999999,0.7000000000000001,0.0,0.0,0.0,0.0,17.07,17.09
,nexus6,1.5028,1.548,1.0011,1.0251,2.0783,2.0368,1.09,0.0,1.26,0.16,2.18,1.11,0.0,0.0,0.0,0.0,62.629999999999995,64.22
,quad0,4.8553,4.8553,1.5618,1.5618,3.1867,3.1867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.16999999999999998
,quad1,4.1861,4.1861,1.6359,1.6359,3.1284,3.1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,9.1581,9.1581,2.3557,2.3557,4.6403,4.6403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92,8.92
,quad3,10.5914,10.5914,2.7086,2.7086,5.5598,5.5598,0.0,0.0,1.7399999999999998,1.7399999999999998,1.82,1.82,0.0,0.0,0.0,0.0,9.89,9.89

,mean,4.32625294117647,4.405670588235294,1.467670588235294,1.4893470588235294,3.1191235294117647,3.0531470588235297,0.7147058823529412,0.025882352941176474,1.3170588235294116,0.618235294117647,3.1805882352941177,2.4958823529411767,0.0,0.0,0.0,0.0,16.998823529411766,17.50294117647059
,std,2.5983438789120243,2.615487774047849,0.4833275722283228,0.4797514443685422,0.9893510603536225,0.9979527933652308,0.517142802522371,0.038049321479520545,0.8674558114250469,0.5781841279498675,2.4386603617276417,2.272127944884239,0.0,0.0,0.0,0.0,21.29912091042946,22.064831950335353

rnn_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,1.5117,1.5117,0.8974,0.8974,1.9834,1.9834,0.5700000000000001,0.0,1.31,0.73,7.340000000000001,6.859999999999999,0.0,0.0,0.0,0.0,11.91,12.15
,coupa1,1.2575,1.2575,0.7771,0.7771,1.723,1.723,0.45999999999999996,0.06,1.68,1.3,8.72,8.49,0.0,0.0,0.0,0.0,11.99,12.15
,gates2,5.0137,5.0137,1.5191,1.5191,3.4747,3.4747,1.5599999999999998,0.01,1.9800000000000002,0.41000000000000003,3.45,1.8800000000000001,0.0,0.0,0.0,0.0,23.05,24.07
,hyang0,2.7069,2.7069,1.1951,1.1951,2.6545,2.6545,1.0699999999999998,0.06,1.6500000000000001,0.64,2.9899999999999998,1.96,0.0,0.0,0.0,0.0,10.08,10.7
,hyang1,4.6667,4.6667,1.6776,1.6776,3.5555,3.5555,0.62,0.0,0.86,0.25,2.42,1.8399999999999999,0.0,0.0,0.0,0.0,11.81,11.99
,hyang3,1.3985,1.3985,0.9492,0.9492,2.1272,2.1272,1.09,0.05,1.52,0.48,3.15,2.13,0.0,0.0,0.0,0.0,36.449999999999996,37.72
,hyang8,0.9576,0.9576,0.7245,0.7245,1.6156,1.6156,0.9199999999999999,0.06999999999999999,2.1999999999999997,1.29,4.74,3.8600000000000003,0.0,0.0,0.0,0.0,75.37,78.44
,little0,6.3193,6.3193,1.7666,1.7666,4.0456,4.0456,1.01,0.01,1.5599999999999998,0.52,2.1,1.0699999999999998,0.0,0.0,0.0,0.0,1.38,1.4500000000000002
,little1,5.1531,5.1531,1.4346,1.4346,3.3329,3.3329,1.1900000000000002,0.1,2.8400000000000003,1.71,6.08,4.96,0.0,0.0,0.0,0.0,5.27,5.48
,little2,5.2436,5.2436,1.5719,1.5719,3.7095,3.7095,1.28,0.02,2.8400000000000003,1.5599999999999998,6.17,4.8,0.0,0.0,0.0,0.0,2.08,2.11
,little3,4.468,4.468,1.5001,1.5001,3.3279,3.3279,1.11,0.03,1.5699999999999998,0.45999999999999996,3.11,1.97,0.0,0.0,0.0,0.0,2.23,2.32
,nexus5,4.3048,4.3048,1.7073,1.7073,3.5309,3.5309,0.13,0.0,0.3,0.16,0.8699999999999999,0.74,0.0,0.0,0.0,0.0,18.9,19.23
,nexus6,1.6583,1.6583,1.0623,1.0623,2.3162,2.3162,1.09,0.0,1.26,0.15,2.08,1.01,0.0,0.0,0.0,0.0,60.99,63.029999999999994
,quad0,6.0324,6.0324,1.9232,1.9232,4.0294,4.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad1,3.9108,3.9108,1.4133,1.4133,2.8805,2.8805,0.0,0.0,0.01,0.01,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0
